image_id,x,y,w,h
981,448,685,178,180
981,2146,767,179,180
981,521,576,181,179
981,462,845,178,180
981,859,1363,179,179
981,578,1357,180,180
981,2124,691,179,180
2483,2033,868,180,180
2483,2670,1569,181,180
2483,1830,1670,179,180
2483,3054,1332,180,179
2483,2193,239,180,179
2483,1676,1364,181,180
2483,1665,938,179,180
2483,2056,997,180,180
2483,2436,1874,180,180
2483,2548,1507,181,180
6581,2077,1379,180,180
6581,3106,1086,181,181
6581,3081,970,180,179
6581,2942,330,180,180
6581,1617,836,180,179
6581,3136,933,180,180
6581,2942,1025,180,180
6581,2261,1422,180,180
6581,2599,1129,181,180
4325,3016,1568,180,180
4325,1828,1671,179,180
4325,2947,1625,180,180
4325,1904,818,180,180
4325,1509,1430,179,180
4325,2696,1658,179,179
4325,1599,1495,180,180
4325,2681,1825,180,181
4325,2477,1588,178,179
4764,2857,1644,179,180
4764,1829,1670,179,180
4764,3051,1420,180,180
4764,2664,1177,181,180
4764,1770,387,180,180
4764,1664,1401,180,180
4764,2585,500,180,180
4764,1559,871,180,180
4764,2618,1855,180,180
5362,2582,1796,181,180
5362,1617,752,179,179
5362,1829,1670,180,180
5362,3052,1332,180,179
5362,2097,126,180,180
5362,2541,1712,179,179
5362,1669,1377,180,180
5362,1669,919,179,179
5362,2674,1629,179,180
5362,2436,1874,180,179
4181,3025,1520,180,179
4181,2887,1678,179,180
4181,1828,1668,180,181
4181,3143,1263,180,180
4181,1898,224,180,180
4181,2776,374,180,180
4181,1461,1085,179,179
4181,2101,1043,180,180
4181,2023,1864,179,179
7402,2001,1334,179,180
7402,3179,1061,180,180
7402,3134,930,181,180
7402,1801,393,179,179
7402,3112,972,179,179
7402,2941,602,180,179
7402,1758,286,180,180
7402,2264,1432,179,179
7402,2726,1231,181,180
7402,2624,243,180,180
571,1273,397,180,180
571,614,265,179,179
571,3176,1445,180,179
571,1604,464,180,180
571,3717,1259,181,180
571,2257,774,179,180
571,1775,534,179,181
571,1907,866,179,179
571,774,286,179,179
571,432,232,180,180
571,2814,1263,181,181
571,522,623,181,181
571,2174,799,180,180
4125,2877,1688,180,180
4125,1927,1749,180,180
4125,3150,1274,180,180
4125,1828,1669,180,180
4125,2492,482,179,180
4125,2812,268,180,180
4125,1474,1116,179,179
4125,2157,1130,179,179
728,2209,779,178,179
728,2188,780,179,180
728,680,113,179,180
728,2298,781,179,179
728,3276,0,177,158
728,1684,540,180,180
728,2846,302,180,180
728,1289,494,179,180
728,2011,887,179,180
728,664,271,179,179
728,520,0,179,160
728,457,621,179,180
728,2242,793,179,180
728,2279,781,179,179
728,571,562,180,180
7464,1736,404,180,180
7464,2002,1334,179,180
7464,3183,1078,179,180
7464,3141,929,179,179
7464,3102,920,179,180
7464,2930,603,180,179
7464,2554,278,180,180
7464,2264,1432,179,179
7464,2725,1231,180,179
7464,2544,173,180,180
2407,3053,1332,179,180
2407,2941,1412,180,180
2407,1668,771,180,179
2407,1829,1670,180,180
2407,3202,1066,180,179
2407,2554,1772,181,180
2407,1668,1375,180,180
2407,1664,915,180,180
2407,2437,1874,179,179
2407,2391,248,180,180
6909,3195,1091,179,179
6909,3130,933,180,180
6909,1947,401,180,180
6909,3025,873,180,180
6909,2863,441,181,180
6909,2885,356,180,180
6909,2884,978,180,180
6909,2262,1422,179,180
6909,2629,1123,180,180
6625,1617,448,180,180
6625,2077,1379,180,180
6625,3001,1125,181,180
6625,3122,972,179,180
6625,2947,1049,180,180
6625,2942,329,180,180
6625,3134,933,180,180
6625,2262,1422,179,180
6625,2599,1129,181,180
4131,2877,1688,180,180
4131,1936,1824,179,179
4131,1737,1309,180,180
4131,3150,1274,180,180
4131,1828,1669,180,180
4131,2742,425,180,181
4131,1461,1084,179,180
4131,2938,392,180,180
4131,2177,1109,179,180
2493,1876,964,179,179
2493,1829,1670,180,180
2493,3054,1332,180,179
2493,2178,249,180,180
2493,2380,1675,180,180
2493,1717,1387,180,179
2493,1776,959,179,179
2493,2433,1892,179,179
2493,2080,918,180,181
2493,2514,1527,180,180
4317,3017,1567,179,179
4317,1829,1671,179,180
4317,2912,1648,179,180
4317,1670,1502,181,180
4317,1904,819,180,180
4317,2691,1659,179,179
4317,1436,1268,180,180
4317,2680,1826,181,181
4317,2667,1557,180,179
555,674,258,179,179
555,3566,1367,179,179
555,2259,779,179,180
555,3722,1258,181,179
555,1657,451,180,180
555,1163,224,179,179
555,1853,911,180,180
555,1047,289,179,179
555,487,35,180,178
555,2743,1209,180,179
555,506,623,181,180
555,1695,333,180,180
555,2175,797,180,180
6536,2077,1379,180,180
6536,3096,1103,180,180
6536,3136,935,180,180
6536,3039,933,180,180
6536,2942,330,180,180
6536,1606,822,179,179
6536,2945,1025,180,179
6536,2261,1422,180,180
6536,2602,1130,180,179
4282,2798,1764,181,180
4282,3014,1573,180,179
4282,2902,1617,179,180
4282,1828,1669,180,180
4282,1386,1124,180,180
4282,1465,1269,180,179
4282,1993,955,179,179
4282,2663,1827,180,180
4282,2764,1412,180,180
2464,2615,1473,180,180
2464,1765,718,178,180
2464,1829,1670,180,180
2464,3055,1332,179,180
2464,1667,1374,180,180
2464,1664,938,180,180
2464,2245,1223,180,180
2464,2437,1874,179,180
2464,2399,133,180,180
2214,2789,1768,180,180
2214,1530,822,180,180
2214,1829,1670,180,180
2214,3051,1332,180,179
2214,1914,388,179,180
2214,2537,1724,180,180
2214,1523,1071,179,179
2214,1535,1355,180,180
2214,2488,1885,180,179
2214,2730,1487,179,180
4061,1908,1186,180,180
4061,1727,322,180,179
4061,2877,1687,179,180
4061,1828,1670,180,179
4061,3149,1277,180,180
4061,1798,1270,179,179
4061,3043,579,179,180
4061,2500,1839,180,180
4061,2340,1497,180,180
5476,2014,823,180,180
5476,2536,1474,179,180
5476,1830,1670,179,180
5476,3055,1332,179,180
5476,1676,1363,181,180
5476,1664,938,180,180
5476,2691,1452,181,180
5476,2083,1083,180,180
5476,2437,1874,179,179
5476,2354,148,180,179
2406,3052,1332,179,180
2406,2929,1454,180,180
2406,1668,771,180,179
2406,1829,1670,180,180
2406,3206,1073,180,180
2406,2554,1772,180,180
2406,1668,1375,180,180
2406,1664,915,180,180
2406,2437,1873,179,180
2406,2391,248,180,180
658,721,224,179,179
658,1083,0,180,152
658,3053,1338,180,179
658,1948,759,179,180
658,3939,1140,157,182
658,2385,757,179,180
658,2135,813,180,181
658,732,314,178,179
658,538,527,180,180
658,2184,766,179,180
658,2238,781,179,180
658,586,316,180,179
6468,2071,1399,180,180
6468,3135,935,180,180
6468,3026,915,181,180
6468,2942,331,180,180
6468,1639,790,180,180
6468,2970,1028,180,180
6468,2262,1423,179,179
6997,3184,1021,180,179
6997,2987,837,179,180
6997,3129,934,179,180
6997,2068,438,179,180
6997,2793,374,180,181
6997,3007,969,180,180
6997,2087,297,180,180
6997,2262,1422,179,180
6997,2641,1117,180,180
4140,2877,1688,180,180
4140,1838,1097,179,180
4140,3150,1274,180,180
4140,1461,1084,179,180
4140,1828,1669,180,180
4140,2791,404,180,180
4140,2939,423,181,179
4140,2143,1107,179,179
4140,1983,1831,179,180
6923,3199,1091,180,179
6923,3129,933,180,180
6923,1949,386,179,180
6923,3011,863,180,179
6923,2811,475,181,181
6923,2908,342,180,179
6923,2884,979,180,180
6923,2262,1422,179,180
6923,2628,1123,180,180
2229,2789,1767,180,181
2229,1441,872,179,180
2229,1829,1670,180,180
2229,3051,1331,179,180
2229,1916,387,179,180
2229,2536,1717,180,180
2229,1540,964,180,179
2229,1535,1354,180,180
2229,2487,1885,179,180
2229,2767,1460,180,180
6961,3194,1092,179,179
6961,3129,933,180,180
6961,1959,421,180,180
6961,3008,882,180,180
6961,2789,374,180,180
6961,2894,957,180,180
6961,2262,1422,180,180
6961,2627,1123,180,180
6961,2514,194,179,179
7394,2001,1334,180,180
7394,3168,1052,180,180
7394,3134,931,181,180
7394,1842,452,181,180
7394,3111,978,180,179
7394,2941,602,180,179
7394,1545,499,179,180
7394,2264,1432,179,179
7394,2726,1232,181,179
7394,2624,243,180,180
5359,2618,1763,179,180
5359,1618,752,178,179
5359,1829,1670,180,180
5359,3052,1332,180,179
5359,2097,127,180,180
5359,2560,1679,181,180
5359,1669,1377,180,180
5359,1668,919,180,179
5359,2670,1636,180,180
5359,2436,1875,179,179
4407,1663,465,180,180
4407,2148,1708,179,179
4407,3011,1573,180,180
4407,2660,1773,180,179
4407,1937,1727,179,180
4407,2938,1613,179,180
4407,1829,1670,179,180
4407,2625,1715,179,180
4407,2710,1639,181,180
4407,1548,1383,180,180
2498,1867,903,180,180
2498,1829,1670,180,180
2498,3054,1332,180,180
2498,2170,255,180,180
2498,1718,1388,179,179
2498,1763,976,178,179
2498,2020,1024,179,179
2498,2432,1894,180,180
2498,2505,1533,180,180
6360,2071,1399,179,180
6360,3102,824,180,180
6360,3190,1040,179,179
6360,3136,936,180,180
6360,2941,332,180,180
6360,2969,1017,181,179
6360,2262,1423,179,179
6354,2071,1399,179,180
6354,3104,819,180,180
6354,3187,1042,180,179
6354,3134,936,180,180
6354,2941,332,180,180
6354,2969,1017,181,180
6354,2262,1423,179,179
5490,2058,882,180,180
5490,1829,1670,180,180
5490,3054,1332,180,180
5490,2178,248,180,180
5490,2467,1760,179,179
5490,1711,1385,180,180
5490,1686,926,180,180
5490,1970,1014,179,179
5490,2436,1879,179,179
5490,2530,1520,181,179
2007,1948,1504,179,179
2007,1829,1671,179,180
2007,2668,1807,179,180
2007,1672,986,180,180
2007,1734,1686,181,180
2007,3034,1350,180,180
2007,1517,1160,180,180
2007,1501,1344,179,179
2007,1431,1209,180,179
2007,2024,1000,179,179
7337,2043,1322,179,180
7337,3091,1422,179,179
7337,1836,458,180,180
7337,3095,1014,180,180
7337,2955,596,180,179
7337,3136,931,180,180
7337,3095,1088,179,179
7337,2264,1431,179,179
7337,2722,1191,181,180
7337,2623,242,180,180
6031,2081,1408,179,180
6031,3131,930,180,180
6031,3176,1012,180,180
6031,2195,318,179,179
6031,3124,848,179,180
6031,2941,333,180,180
6031,3163,763,180,180
6031,2261,1423,180,180
6031,2589,1099,179,179
5443,2617,1359,180,180
5443,1667,770,180,179
5443,1829,1670,180,180
5443,3054,1332,180,180
5443,2825,1206,181,181
5443,2573,1745,180,180
5443,1667,1375,180,180
5443,1666,916,179,179
5443,2436,1874,180,180
5443,2420,244,180,180
2454,1733,736,179,180
2454,1829,1670,180,180
2454,3053,1331,180,180
2454,2590,1637,180,179
2454,1667,1374,180,180
2454,1665,939,179,179
2454,2531,1264,180,179
2454,2437,1874,179,180
2454,2434,1246,179,178
2454,2414,210,179,179
7424,1772,410,179,180
7424,2002,1335,179,180
7424,3162,1057,180,179
7424,3135,930,180,180
7424,2199,344,179,179
7424,3101,982,180,179
7424,2941,602,180,179
7424,2264,1432,179,179
7424,2726,1231,180,180
7424,2596,233,180,180
5071,1683,1116,180,180
5071,1965,660,179,179
5071,2668,1808,180,179
5071,1830,1671,179,180
5071,3034,1350,180,180
5071,1656,1517,181,180
5071,1555,1174,180,180
5071,1478,1298,179,180
5071,1988,990,179,179
4351,3016,1569,180,180
4351,2682,1826,180,180
4351,1800,1766,179,179
4351,2899,1644,180,180
4351,1829,1672,179,179
4351,1742,815,179,180
4351,2700,1651,179,180
4351,1531,1397,180,180
4351,2134,1839,180,180
4351,2505,1652,179,179
6639,2077,1379,180,180
6639,3135,933,180,181
6639,3045,1046,180,180
6639,3137,990,180,180
6639,1798,434,181,180
6639,2902,1048,179,180
6639,2942,330,180,179
6639,2262,1422,179,180
6639,2612,1129,180,180
4534,2166,1437,179,180
4534,2758,1733,180,180
4534,1828,1670,180,180
4534,3014,1572,180,179
4534,2482,1629,178,179
4534,3060,487,180,181
4534,1525,930,179,180
4534,2698,1608,179,180
4534,1547,1383,180,180
4534,2625,1834,181,180
6696,2077,1378,180,180
6696,3158,1042,180,179
6696,3133,934,180,180
6696,1908,416,181,180
6696,3020,1030,180,181
6696,2923,340,180,180
6696,2902,1049,180,179
6696,2262,1422,179,179
6696,2611,1127,180,181
5066,1912,803,180,180
5066,2668,1807,180,180
5066,1830,1671,180,180
5066,1692,1118,181,180
5066,3034,1350,180,180
5066,1656,1518,181,180
5066,1583,1191,180,180
5066,1840,984,180,179
5066,1479,1298,179,179
6421,2071,1399,180,180
6421,3155,1042,180,180
6421,3133,934,180,180
6421,3077,906,180,180
6421,2941,332,180,180
6421,1596,676,179,179
6421,2970,1016,180,179
6421,2262,1423,179,179
5494,1876,958,180,179
5494,1829,1670,180,180
5494,3054,1332,179,179
5494,2174,252,180,180
5494,2372,1635,179,181
5494,1717,1387,180,180
5494,1777,960,178,179
5494,2076,946,180,180
5494,2432,1894,180,179
5494,2510,1530,181,180
719,2190,777,179,180
719,640,279,178,178
719,520,0,179,162
719,542,243,180,180
719,1719,578,179,179
719,3222,293,180,179
719,1398,747,180,180
719,1514,885,180,180
719,731,420,179,179
719,452,614,180,179
719,2424,793,180,180
719,2297,781,180,179
725,521,0,179,163
725,595,193,179,180
725,1697,546,179,180
725,2875,243,180,180
725,1377,509,180,180
725,1874,958,179,179
725,635,510,179,180
725,663,276,179,179
725,457,620,179,180
725,2271,794,180,180
725,2190,778,179,180
6213,2097,1405,180,180
6213,3114,820,180,180
6213,3071,1067,180,180
6213,3137,935,179,180
6213,2091,291,180,180
6213,3034,925,180,181
6213,2941,332,179,180
6213,2261,1423,180,179
5312,2094,1456,179,180
5312,2657,1795,180,180
5312,1573,817,179,180
5312,1829,1670,180,180
5312,3051,1332,180,180
5312,1954,300,179,180
5312,1670,919,180,180
5312,2794,1586,180,180
5312,1602,1369,179,180
5312,2436,1876,180,179
6417,2071,1399,180,180
6417,3159,1042,180,179
6417,3134,935,180,180
6417,3079,903,180,180
6417,2941,332,180,180
6417,1597,678,179,180
6417,2970,1016,180,180
6417,2262,1423,179,179
6658,2077,1378,180,180
6658,3127,1033,180,180
6658,3133,934,180,180
6658,1895,425,181,180
6658,3044,1025,180,180
6658,2942,330,180,179
6658,2901,1047,179,180
6658,2262,1422,179,180
6658,2612,1129,180,180
898,2112,763,178,179
898,669,268,179,179
898,557,374,179,179
898,3265,1329,180,180
898,3045,329,180,180
898,1517,466,180,180
898,943,344,180,180
898,542,231,180,180
898,408,1306,178,180
898,1250,1129,180,179
898,1296,148,179,179
898,510,1260,180,180
898,2190,776,179,180
898,2294,766,179,179
7087,2074,1346,180,180
7087,3100,1028,179,180
7087,3196,1067,180,179
7087,2973,838,181,179
7087,3131,934,180,180
7087,2095,494,180,180
7087,2749,302,180,180
7087,2261,1422,180,180
7087,2675,184,179,179
5265,2695,1738,180,180
5265,1523,797,179,179
5265,1829,1670,179,180
5265,3052,1332,179,179
5265,1931,378,180,180
5265,1668,921,180,180
5265,2704,1590,179,180
5265,1596,1370,180,180
5265,2434,1878,179,180
4385,1591,486,179,179
4385,1976,1731,178,180
4385,3009,1571,180,180
4385,2682,1826,180,180
4385,2862,1628,179,180
4385,1828,1671,180,179
4385,2695,1649,182,181
4385,1549,1383,180,180
4385,2075,1862,180,180
4710,2847,1694,180,179
4710,1828,1670,180,180
4710,3055,1424,179,180
4710,1848,233,180,180
4710,2986,1203,180,180
4710,1637,1399,180,180
4710,1514,934,179,180
4710,2359,966,180,179
4710,2618,1856,180,180
591,1569,266,179,180
591,602,275,179,179
591,3106,1336,180,180
591,3887,1307,179,180
591,2254,768,180,180
591,1381,945,180,180
591,551,491,180,180
591,1925,857,180,179
591,740,321,179,179
591,513,244,180,180
591,548,634,180,180
591,1429,140,180,180
591,2175,798,180,180
591,2893,1247,179,180
5187,2782,1789,180,180
5187,1524,1070,179,180
5187,1829,1670,179,180
5187,3050,1332,180,180
5187,1925,383,180,180
5187,2653,1747,180,180
5187,2855,1609,179,180
5187,1535,1355,179,180
5187,2395,701,180,180
5187,2447,1564,179,179
2289,2659,1795,180,179
2289,1829,1670,179,180
2289,3052,1332,179,179
2289,1965,281,179,180
2289,1672,920,180,179
2289,2798,1591,180,181
2289,1596,1370,179,180
2289,2436,1877,180,180
545,1160,241,179,179
545,698,256,179,179
545,3687,1409,179,179
545,2258,779,180,180
545,3712,1264,181,180
545,3896,0,181,122
545,1600,313,178,179
545,1842,877,180,180
545,1044,288,179,179
545,583,23,179,177
545,2763,1185,181,181
545,520,703,180,181
545,1524,213,179,180
545,2175,798,180,180
4272,2796,1780,181,181
4272,1828,1669,180,180
4272,2985,1583,179,181
4272,2892,1382,180,179
4272,1404,1085,180,180
4272,2877,1536,180,179
4272,1427,1203,181,180
4272,1993,955,179,179
4272,2659,1832,180,180
5269,2691,1737,179,180
5269,1829,1670,179,180
5269,3052,1332,179,179
5269,1928,382,180,180
5269,1676,918,180,180
5269,1596,1370,179,180
5269,2434,1879,179,179
5269,2681,1608,179,180
2024,1636,1133,180,181
2024,1705,1355,180,180
2024,2668,1807,180,180
2024,1489,773,179,180
2024,1830,1671,180,179
2024,3034,1350,180,180
2024,1655,1564,179,180
2024,1418,1027,180,179
2024,1548,1279,180,180
2024,2049,968,179,179
7263,2069,1327,179,180
7263,2973,656,180,179
7263,3122,1058,179,180
7263,2021,249,180,180
7263,3110,961,180,179
7263,2644,233,180,179
7263,2264,1432,179,179
7263,2686,1204,180,179
7263,2653,131,179,179
7186,2069,1328,180,181
7186,1621,1566,179,180
7186,3122,1049,180,179
7186,2972,654,180,180
7186,3136,930,180,180
7186,3083,952,180,180
7186,2264,1432,179,179
7186,2694,1212,180,179
7186,2702,301,180,180
7152,2074,1345,179,180
7152,3120,1369,180,180
7152,2964,638,180,180
7152,3132,931,180,180
7152,2086,503,180,180
7152,3069,977,180,180
7152,3136,1034,180,179
7152,2262,1422,179,180
7152,2685,1128,180,179
7152,2703,300,179,180
4405,1638,463,180,180
4405,2147,1708,179,179
4405,3010,1573,180,180
4405,2675,1809,180,180
4405,1949,1734,180,180
4405,2938,1611,179,180
4405,1828,1670,180,180
4405,2621,1728,179,179
4405,1548,1383,180,180
4095,2758,1776,179,180
4095,1904,1669,180,180
4095,1710,1311,181,180
4095,3150,1275,180,179
4095,1829,1670,180,180
4095,2005,327,179,179
4095,2893,536,179,180
4095,1466,1121,179,180
4095,2336,1460,179,180
4095,2877,1688,179,180
720,2191,777,179,180
720,650,274,179,179
720,520,0,179,162
720,548,234,180,180
720,1400,684,180,180
720,3175,233,179,180
720,1716,580,180,179
720,1526,922,180,180
720,705,435,180,179
720,2425,799,179,180
720,451,619,179,179
720,2295,780,180,180
4636,2762,1765,181,180
4636,1829,1670,179,180
4636,3044,1491,179,179
4636,1638,1384,180,179
